Supply_Are,Substation,Substati_1,Transforme,NoOfTrfrs,TrfrSizeMV,InstalledT,LightLoad,GxAtLightL,YearOfTrfr,UpgradeSta,NoOfTrfrs2,TrfrSize_1,Installe_1,REIPPPGenA,MVLimitLL2,HVLimitLL2,HVAreaLimi,CLNLimitLL,MVLimitMDL,HVLimitMDL,HVAreaLi_1,CLNLimitMD,Status
Johannesburg North,Craighall,Craighall 275/88,275/88,3,315,945,0.0,0.0,-,-,3,315,945,-,926.1,1750.0,1750.0,6500,926.1,1750.0,1750.0,6500,Existing
Johannesburg North,Lepini,Lepini 275/88,275/88,4,315,1260,162.0,0.0,-,-,4,315,1260,3.2,1396.8,1700.0,1700.0,6500,1396.8,1700.0,1700.0,6500,Existing
Johannesburg North,Lulamisa,Lulamisa 400/88,400/88,3,315,945,224.0,0.0,-,-,3,315,945,-,1150.1,2300.0,2300.0,6500,1150.1,2300.0,2300.0,6500,Existing
Johannesburg North,Minerva,Minerva 400/275,400/275,4,800,3200,0.0,0.0,-,-,4,800,3200,-,3136.0,5625.0,5625.0,6500,3136,5625.0,5625.0,6500,Existing
Johannesburg North,Minerva,Minerva 400/275-275,400/275-275,-,-,-,0.0,0.0,,,4,800,3200,-,3136.0,5170.0,5170.0,6500,3136,5170.0,5170.0,6500,Existing
Johannesburg South,Croydon,Croydon 275/132,275/132,3,250,750,17.0,0.0,-,-,3,250,750,-,752.0,1050.0,1050.0,3900,752,1150.0,750.0,925,Existing
Johannesburg South,Eiger,Eiger 275/88,275/88,3,315,945,30.0,0.0,-,-,3,315,945,-,956.1,2800.0,2800.0,3900,956.1,2100.0,925.0,925,Existing
Johannesburg South,Jupiter,Jupiter 275/88,275/88,3,180,540,120.0,0.0,-,-,3,180,540,-,649.2,1400.0,2150.0,3900,649.2,600.0,600.0,925,Existing
Karoo,Hydra,Hydra 400/220,400/220,2,315,630,0.0,0.0,-,-,2,315,630,-,617.4,700.0,700.0,1550,617.4,700.0,700.0,1550,Existing
Karoo,Hydra,Hydra 400/132,400/132,2,240,480,45.0,193.625,,,2,240,480,235.5,811.775,700.0,700.0,1550,811.775,700.0,700.0,1550,Existing
Karoo,Hydra,Hydra 400/132,400/132,0,0,0,0.0,193.625,2018,Approved,1,500,500,-,0.0,700.0,700.0,1550,811.775,700.0,700.0,1550,Existing
Karoo,Hydra,Hydra 765/400,765/400,1,2000,2000,0.0,0.0,-,-,1,2000,2000,-,1960.0,5050.0,5050.0,1550,1960,5050.0,5050.0,1550,Existing
Karoo,Hydra B,Hydra B 400/132,400/132,0,0,0,45.0,0.0,2021,Proposed,1,500,500,-,535.0,5050.0,5050.0,1550,535,5050.0,5050.0,1550,Planned
Karoo,Kronos,Kronos 400/132,400/132,1,250,250,0.0,118.95,2019,Proposed,2,250,500,462.83,371.05,1700.0,1700.0,1550,371.05,1700.0,1700.0,1550,Existing
Karoo,Roodekuil,Roodekuil 220/132,220/132,1,125,125,0.0,0.0,-,-,1,125,125,-,122.5,575.0,575.0,1550,122.5,575.0,575.0,1550,Existing
Karoo,Ruigtevallei,Ruigtevallei 132/66,132/66,2,20,40,0.0,0.0,2020,Approved,3,20,60,-,58.8,58.8,58.8,1550,58.8,58.8,58.8,1550,Existing
Karoo,Ruigtevallei,Ruigtevallei 220/132,220/132,2,250,500,0.0,0.0,-,-,1,250,250,69.9,245.0,245.0,245.0,1550,245,245.0,245.0,1550,Existing
Kimberly,Upington,Upington 400/132,400/132,0,0,0,0.0,0.0,2020,Proposed,2,500,1000,383.9,980.0,900.0,1600.0,2150,980,900.0,1600.0,2150,Existing
Kimberly,Ferrum,Ferrum 132/66,132/66,3,80,240,24.0,0.0,-,-,3,80,240,-,259.2,259.2,259.2,2150,259.2,259.2,259.2,2150,Existing
Kimberly,Ferrum,Ferrum 275/132,275/132,2,250,500,15.0,40.0,-,-,2,250,500,224,465.0,1450.0,1450.0,2150,465,1450.0,1450.0,2150,Existing
Kimberly,Ferrum,Ferrum 400/132,400/132,2,500,1000,10.0,40.0,-,-,2,500,1000,100,950.0,1775.0,1775.0,2150,950,1775.0,1775.0,2150,Existing
Kimberly,Garona,Garona 275/132,275/132,1,125,125,5.0,0.0,-,-,1,125,125,50,127.5,1250.0,1250.0,2150,127.5,1250.0,1250.0,2150,Existing
Kimberly,Nieuwehoop,Nieuwehoop 400/132,400/132,1,500,500,0.0,0.0,-,-,1,500,500,-,490.0,1000.0,1000.0,2150,490,1000.0,1000.0,2150,Existing
Kimberly,Olien,Olien 275/132,275/132,2,150,300,53.0,0.0,-,-,2,150,300,239,347.0,1350.0,1350.0,2150,347,1350.0,1350.0,2150,Existing
Ladysmith,Bloukrans,Bloukrans 275/132,275/132,2,250,500,0.0,0.0,-,-,2,250,500,-,490.0,450.0,450.0,1400,490,800.0,800.0,1400,Existing
Ladysmith,Danskraal,Danskraal 275/132,275/132,2,125,250,25.0,0.0,-,-,2,125,250,-,270.0,550.0,550.0,1400,270,650.0,650.0,1400,Existing
Ladysmith,Tugela,Tugela 275/132,275/132,2,180,360,12.0,0.0,-,-,2,180,360,9,364.8,700.0,700.0,1400,364.8,950.0,950.0,1400,Existing
Ladysmith,Venus,Venus 400/275,400/275,2,800,1600,0.0,0.0,-,-,2,800,1600,-,1568.0,5650.0,5650.0,1400,1568,4150.0,4150.0,1400,Existing
