Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,source_count,source_flags,raw_project_ids
Kusile,Hard Coal,Steam Turbine,PP,South Africa,4800.0,,2018.0,,2071.0,-25.92007,28.924942,,,,,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G100000106042', 'G100000106041', 'G100000106039', 'G100000106040', 'G100000106043', 'G100000106044'}, 'GPD': {'WRI1061281'}}",1,ppm,"{'GCPT': {'G100000106042', 'G100000106041', 'G100000106039', 'G100000106040', 'G100000106043', 'G100000106044'}, 'GPD': {'WRI1061281'}}"
Kaxu Solar One Thermosolar,Solar,Csp,PP,South Africa,200.0,,2015.0,,,-28.88495,19.59235,,,,,"{nan, nan}","{'GSPT': {'G100000800202', 'G100000800429'}, 'GPD': {'WKS0071109'}}",1,ppm,"{'GSPT': {'G100000800202', 'G100000800429'}, 'GPD': {'WKS0071109'}}"
Ingula,Hydro,Pumped Storage,Storage,South Africa,1332.0,,2016.0,,,-28.2809,29.588,,,,,{nan},"{'GHPT': {'G100000603352'}, 'GEO': {'GEO-46084'}}",1,ppm,"{'GHPT': {'G100000603352'}, 'GEO': {'GEO-46084'}}"
Collywobbles,Hydro,Run-Of-River,PP,South Africa,42.0,,1985.0,,,-32.0011,28.5819,,,,,{nan},"{'GHPT': {'G100001030331'}, 'GEO': {'GEO-2734'}}",1,ppm,"{'GHPT': {'G100001030331'}, 'GEO': {'GEO-2734'}}"
Koeberg 2,Nuclear,Steam Turbine,PP,South Africa,970.0,,1985.0,,,-33.6746,18.4321,,,,,{nan},"{'GNPT': {'G100000500318'}, 'GEO': {'GEO-3880'}}",1,ppm,"{'GNPT': {'G100000500318'}, 'GEO': {'GEO-3880'}}"
Darling Wind Farm,Wind,,PP,South Africa,5.2,,2008.0,,,-33.3173,18.2586,,,,,{nan},"{'GPD': {'WRI1061293'}, 'GEO': {'GEO-2869'}}",1,ppm,"{'GPD': {'WRI1061293'}, 'GEO': {'GEO-2869'}}"
Slimsun Swartland Solar Park,Solar,PV,PP,South Africa,10.0,,2015.0,,,-33.34995,18.5238,,,,,"{nan, nan}","{'GSPT': {'G100000831291', 'G100000831292'}, 'GPD': {'WRI1026058', 'WRI1061286'}}",1,ppm,"{'GSPT': {'G100000831291', 'G100000831292'}, 'GPD': {'WRI1026058', 'WRI1061286'}}"
De Aar Solar Capital Solar Farm,Solar,PV,PP,South Africa,175.0,,2014.0,,,-30.592350000000003,24.09805,,,,,"{nan, nan}","{'GSPT': {'G100000800109', 'G100000800111'}, 'GPD': {'WRI1061287', 'WRI1061289', 'WRI1026039'}}",1,ppm,"{'GSPT': {'G100000800109', 'G100000800111'}, 'GPD': {'WRI1061287', 'WRI1061289', 'WRI1026039'}}"
Sishen Solar,Solar,PV,PP,South Africa,94.0,,2014.0,,,-27.5778,22.9309,,,,,{nan},"{'GSPT': {'G100000800357'}, 'GPD': {'WRI1026056'}}",1,ppm,"{'GSPT': {'G100000800357'}, 'GPD': {'WRI1026056'}}"
Amakhala Emoyeni Wind Farm,Wind,Onshore,PP,South Africa,203.0,,2016.0,,,-32.690349999999995,26.106749999999998,,,,,"{nan, nan}","{'GWPT': {'G100000920675', 'G100000900092'}, 'GPD': {'WRI1026029'}}",1,ppm,"{'GWPT': {'G100000920675', 'G100000900092'}, 'GPD': {'WRI1026029'}}"
Rustmo Solar Farm,Solar,PV,PP,South Africa,6.9,,2013.0,,,-25.7372,27.4202,,,,,{nan},"{'GSPT': {'G100000831289'}, 'GPD': {'WRI1026055'}}",1,ppm,"{'GSPT': {'G100000831289'}, 'GPD': {'WRI1026055'}}"
Aries Za Solar,Solar,PV,PP,South Africa,9.6,,2014.0,,,-29.502,20.7821,,,,,{nan},"{'GSPT': {'G100000831276'}, 'GPD': {'WRI1026033'}}",1,ppm,"{'GSPT': {'G100000831276'}, 'GPD': {'WRI1026033'}}"
Adams Aurora Solar Farm,Solar,PV,PP,South Africa,85.0,,2017.0,,,-27.36965,23.010350000000003,,,,,"{nan, nan}","{'GSPT': {'G100000800007', 'G100000831273'}, 'GPD': {'WRI1061276'}}",1,ppm,"{'GSPT': {'G100000800007', 'G100000831273'}, 'GPD': {'WRI1061276'}}"
West Coast Wind Farm,Wind,Onshore,PP,South Africa,94.0,,2015.0,,,-32.8343,17.9956,,,,,{nan},"{'GWPT': {'G100000900005'}, 'GPD': {'WRI1026023'}}",1,ppm,"{'GWPT': {'G100000900005'}, 'GPD': {'WRI1026023'}}"
Waainek Wind Farm,Wind,Onshore,PP,South Africa,25.0,,2016.0,,,-32.5901,26.4569,,,,,{nan},"{'GWPT': {'G100000900015'}, 'GPD': {'WRI1061297'}}",1,ppm,"{'GWPT': {'G100000900015'}, 'GPD': {'WRI1061297'}}"
Metrowind Van Stadens Wind Farm,Wind,Onshore,PP,South Africa,54.0,,2014.0,,,-33.96105,25.24615,,,,,"{nan, nan}","{'GWPT': {'G100000900066', 'G100000920673'}, 'GPD': {'WRI1061294'}}",1,ppm,"{'GWPT': {'G100000900066', 'G100000920673'}, 'GPD': {'WRI1061294'}}"
Tsitsikamma Community Wind Farm,Wind,Onshore,PP,South Africa,95.0,,2016.0,,,-34.0735,24.5067,,,,,{nan},"{'GWPT': {'G100000900077'}, 'GPD': {'WRI1061300'}}",1,ppm,"{'GWPT': {'G100000900077'}, 'GPD': {'WRI1061300'}}"
