scenario_set,sheet,source_path,Scenario,bus0,bus1,voltage (kV),length (km),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,scenario,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,LINE_START,LINE_END,DESIGN_VOL,LINE_STATU,BUILD_YEAR,CHECK,Length
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KUSILE,APOLLO,400.0,PLANNED,2040.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MBEWU,INVUBA,400.0,PLANNED,2023.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UMFOLOZI,MBEWU,765.0,PLANNED,,OK,94054.6
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISUNDU,VENUS,765.0,PLANNED,2032.0,OK,119170.3
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VENUS,EROS,400.0,PLANNED,2040.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORMANDIE,IPHIVA,400.0,PLANNED,2025.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARATHON,GUMENI,400.0,PLANNED,2031.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZHELELE,BORUTHO,400.0,PLANNED,2032.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZHELELE,TABOR,400.0,PLANNED,2032.0,,
TDP_DIGITISED,TDP_2023_32,data/bundle/transmission_grid/tdp_digitised/TDP_2023_32.shp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPENCER,FOSKOR,400.0,PLANNED,2029.0,,
